,Temp,sj1,chij1,sj10,chij10,sj20,chij20,sj50,chij50
35,1.1437947512646958,1.2975579193940705,0.7411311694025421,0.9292497622270552,0.392380473432223,0.7057375359660056,0.2590026138643584,0.2566073565959204,0.0677113989737594
36,1.2507988504515213,1.3129408221608063,0.7656375576634451,0.980625379101083,0.4282525420081287,0.763700584543068,0.2905758524823619,0.2990516835678877,0.0821436929320772
37,1.3678133795954035,1.32566948021658,0.7878122680440225,1.027651103221862,0.463331824144412,0.8194520349306719,0.322793755226871,0.344593443753669,0.0984575482447967
38,1.4957748327997142,1.3361883352826158,0.8078514460167255,1.070316977337342,0.4973346075044564,0.8724919889984737,0.3553114262456684,0.3928034986666798,0.1166510483402413
39,1.6357073149107633,1.344874107889133,0.825946395525509,1.108730054120724,0.5300411109565905,0.922449348981465,0.3878046631480319,0.4431748374280585,0.1366770741484144
40,1.7887307376636643,1.3520432788767671,0.8422790371262786,1.143084315183139,0.5612917722398026,0.9690774496748172,0.4199797992392403,0.4951434247379147,0.1584434291468804
41,1.9560697825927085,1.3579599641693507,0.857019304726593,1.1736332220440673,0.5909810754159116,1.0122432412083269,0.4515802622118579,0.5481120010307614,0.1818155194460753
42,2.1390637024384427,1.3628435059248016,0.8703239051224942,1.2006662454940369,0.6190500542378997,1.0519122672243806,0.482390010794864,0.6014749352327152,0.2066213872284156
43,2.3391770394943947,1.3668754209062488,0.8823360009985445,1.2244898886750215,0.6454783735221984,1.0881315288294997,0.5122342693872391,0.6546422049398942,0.2326586677178832
44,2.5580113466748093,1.370205550766403,0.8931854933983934,1.245413131407488,0.6702766359326584,1.1210119670334169,0.5409781216082117,0.7070607869858422,0.2597028715301477
45,2.7973180051097826,1.37295738257981,0.9029896715109508,1.2637368629465286,0.6934793286176363,1.1507118486967325,0.5685235625098956,0.7582321375142369,0.2875163080104799
46,3.0590122408499782,1.375232577744445,0.9118540677942972,1.2797466923387706,0.7151386341434,1.1774218926393318,0.594805572842674,0.8077249496718346,0.315856967109989
47,3.34518845285978,1.377114782521713,0.9198734084625008,1.2937084769727076,0.7353191889792491,1.2013525812326895,0.619787696473301,0.855182912809568,0.3444867575966306
48,3.6581369749723778,1.3786728073163523,0.9271325869576496,1.3058659427062458,0.7540937768811753,1.2227237964716111,0.6434574993440633,0.9003276814523644,0.37317863608462
49,4.000362405956502,1.3799632631922227,0.933707614637358,1.316439845406029,0.7715398858725556,1.2417567034628467,0.6658221841698624,0.9429576390183204,0.401722326857599
50,4.374603654394577,1.3810327387847252,0.9396665213642706,1.3256282173890797,0.7877370269257088,1.2586676694493173,0.6869045413511644,0.9829432824135708,0.4299284997169315
51,4.783855858796031,1.3819195922469691,0.9450701912231102,1.33360733643746,0.8027647013913063,1.2736639369335665,0.7067393393236011,1.020220158424725,0.4576314205419419
